id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2019-970062,2019-01-29,1,Vente,154000,43,,RUE DU COMMERCE,680,64700,64260,Hendaye,64,,,64260000AL0219,,,6,69.20,7,,,,,,,,2,2,Appartement,72.00,4,,,,,,-1.7812560,43.3523270,000AL
2019-970067,2019-01-31,1,Vente,153000,50,,RUE BIGARENA,420,64700,64260,Hendaye,64,,,64260000AK0465,,,32,46.47,,,,,,,,,1,2,Appartement,46.00,2,,,,,,-1.7733770,43.3508840,000AK
2019-970070,2019-02-01,1,Vente,156000,9005,,CHE DE SOPITE,2100,64700,64260,Hendaye,64,,,64260000AD1456,,,106,32.88,,,,,,,,,1,2,Appartement,33.00,1,,,,,,-1.7520340,43.3720730,000AD
2019-970074,2019-02-12,1,Vente,76900,81,,BD DU GENERAL DE GAULLE,1090,64700,64260,Hendaye,64,,,64260000AL0440,,,35,29.76,,,,,,,,,1,2,Appartement,29.00,2,,,,,,-1.7805040,43.3533580,000AL
2019-970078,2019-02-01,1,Vente,233000,9011,,RUE HELENE BOUCHER,1165,64700,64260,Hendaye,64,,,64260000AT0418,,,14,77.01,,,,,,,,,1,2,Appartement,75.00,4,,,,,,-1.7620220,43.3708340,000AT
2019-970079,2019-02-01,1,Vente,100000,9,,RUE DOLEAC,740,64700,64260,Hendaye,64,,,64260000AL0436,,,8,60.09,,,,,,,,,1,2,Appartement,63.00,3,,,,,,-1.7804550,43.3521070,000AL
2019-970080,2019-02-01,1,Vente,161500,44,,RUE DE BARRANDEGUY,265,64700,64260,Hendaye,64,,,64260000AN0672,,,12,54.47,,,,,,,,,1,2,Appartement,55.00,2,,,,,,-1.7676880,43.3566590,000AN
2019-970082,2019-02-01,1,Vente,450000,3,,RUE D AGUERRIA,40,64700,64260,Hendaye,64,,,64260000AD0452,,,,,,,,,,,,,0,1,Maison,119.00,4,S,sols,,,1139.00,-1.7511060,43.3740720,000AD
2019-970083,2019-02-04,1,Vente,110000,40,,AV DES MIMOSAS,1510,64700,64260,Hendaye,64,,,64260000AW0247,,,721,16.12,,,,,,,,,1,2,Appartement,17.00,1,,,,,,-1.7747020,43.3725920,000AW
2019-970084,2019-02-08,1,Vente,270000,20,,RUE DU PONT,1860,64700,64260,Hendaye,64,,,64260000AN0666,,,116,73.01,,,,,,,,,1,2,Appartement,73.00,4,,,,,,-1.7720600,43.3570250,000AN
